model,emotion,precision_context_full_context,precision_context_test_context,precision_nocontext_full_context,precision_nocontext_test_context,recall_context_full_context,recall_context_test_context,recall_nocontext_full_context,recall_nocontext_test_context,f1_context_full_context,f1_context_test_context,f1_nocontext_full_context,f1_nocontext_test_context
deepseek-r1_14b,Anger,0.16666666666666666,0.0,0.1,0.0,0.041666666666666664,0.0,0.043478260869565216,0.0,0.06666666666666667,0.0,0.06060606060606061,0.0
deepseek-r1_14b,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_14b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_14b,Happiness,0.10526315789473684,0.0,0.3125,0.14285714285714285,0.03773584905660377,0.0,0.09433962264150944,0.09090909090909091,0.05555555555555555,0.0,0.14492753623188406,0.1111111111111111
deepseek-r1_14b,Neutral,0.8751696065128901,0.8698630136986302,0.8841379310344828,0.8865248226950354,0.9684684684684685,0.9548872180451128,0.9668174962292609,0.9398496240601504,0.9194583036350678,0.910394265232975,0.9236311239193083,0.9124087591240876
deepseek-r1_14b,Sadness,0.25,0.0,0.16666666666666666,0.0,0.2,0.0,0.25,0.0,0.2222222222222222,0.0,0.2,0.0
deepseek-r1_14b,Surprise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_32b,Anger,0.25,0.0,0.2857142857142857,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.125,0.0,0.21052631578947367,0.0
deepseek-r1_32b,Disgust,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.0
deepseek-r1_32b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_32b,Happiness,0.14285714285714285,0.0,0.5,0.3333333333333333,0.03773584905660377,0.0,0.1320754716981132,0.09090909090909091,0.05970149253731343,0.0,0.208955223880597,0.14285714285714285
deepseek-r1_32b,Neutral,0.8789115646258503,0.8639455782312925,0.8945908460471568,0.8775510204081632,0.96996996996997,0.9548872180451128,0.9684684684684685,0.9699248120300752,0.9221984296930764,0.9071428571428571,0.9300648882480173,0.9214285714285714
deepseek-r1_32b,Sadness,0.2,0.0,0.3333333333333333,0.0,0.2,0.0,0.4,0.0,0.2,0.0,0.36363636363636365,0.0
deepseek-r1_32b,Surprise,0.0,0.0,1.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.13333333333333333,0.0
deepseek-r1_8b,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Disgust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Happiness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deepseek-r1_8b,Surprise,0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0
gemma3_12b,Anger,0.2857142857142857,0.0,0.15384615384615385,0.0,0.08695652173913043,0.0,0.08695652173913043,0.0,0.13333333333333333,0.0,0.1111111111111111,0.0
gemma3_12b,Disgust,0.08695652173913043,0.25,0.047619047619047616,0.0,0.5,1.0,0.25,0.0,0.14814814814814814,0.4,0.08,0.0
gemma3_12b,Fear,0.06666666666666667,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
gemma3_12b,Happiness,0.2857142857142857,0.0,0.5,0.0,0.0392156862745098,0.0,0.1346153846153846,0.0,0.06896551724137931,0.0,0.21212121212121213,0.0
gemma3_12b,Neutral,0.8908554572271387,0.8705035971223022,0.9015918958031838,0.8848920863309353,0.937888198757764,0.9307692307692308,0.9396681749622926,0.924812030075188,0.913767019667171,0.8996282527881041,0.9202363367799113,0.9044117647058824
gemma3_12b,Sadness,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.18181818181818182,0.0
gemma3_12b,Surprise,0.09090909090909091,0.0,0.14285714285714285,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.08333333333333333,0.0,0.1,0.0
gemma3_27b,Anger,0.3333333333333333,0.0,0.3076923076923077,0.0,0.08333333333333333,0.0,0.17391304347826086,0.0,0.13333333333333333,0.0,0.2222222222222222,0.0
gemma3_27b,Disgust,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.10526315789473684,0.0
gemma3_27b,Fear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3_27b,Happiness,0.2222222222222222,0.0,0.38461538461538464,0.2,0.03773584905660377,0.0,0.09803921568627451,0.09090909090909091,0.06451612903225806,0.0,0.15625,0.125
gemma3_27b,Neutral,0.8708791208791209,0.8639455782312925,0.8992907801418439,0.8920863309352518,0.9548192771084337,0.9548872180451128,0.9577039274924471,0.9465648854961832,0.9109195402298851,0.9071428571428571,0.9275786393562546,0.9185185185185185
gemma3_27b,Sadness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3_27b,Surprise,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.09523809523809523,0.0
